timestep,week,duration_h,demand_MW_s0,demand_MW_s1,demand_MW_s2,demand_MW_s3,demand_MW_s4,demand_MW_s5,demand_MW_s6,demand_MW_s7,demand_MW_s8,demand_MW_s9
0,0,24.0,52719.33,49506.07,52478.87,52292.69,51890.65,52590.40,51318.22,52064.06,52637.04,52110.45
1,0,24.0,49227.38,49075.20,49781.43,50077.01,49297.16,50115.10,49846.98,49795.98,49233.73,48858.59
2,0,24.0,52636.56,50951.51,53746.46,53358.09,53894.94,55468.54,51838.91,54802.63,52161.71,53639.14
3,0,24.0,52289.67,52514.74,52753.16,52616.62,54087.50,57166.45,51954.74,55782.04,53123.66,54542.93
4,0,24.0,52329.46,52128.09,54386.75,52860.41,55129.32,57044.62,51179.61,55942.83,53820.56,52479.50
5,0,24.0,52914.99,52248.65,53815.17,53443.12,54712.70,56911.28,50547.53,55321.03,51724.61,52670.11
6,0,24.0,52344.94,52544.63,53222.53,53091.99,54813.82,56590.47,51042.99,54031.50,53970.75,53486.06
7,1,24.0,49171.38,53660.41,53665.17,52824.55,51480.83,52870.76,51271.81,51848.96,53322.44,52393.93
8,1,24.0,46493.49,50662.82,50816.44,50642.71,48207.94,50811.07,49524.09,49959.04,49505.38,50762.68
9,1,24.0,50442.88,54726.70,54666.55,54350.34,53606.45,55148.86,54698.31,54028.81,53980.40,53470.26
10,1,24.0,52153.60,54453.74,55431.13,53796.01,55067.90,56505.00,54744.59,52726.88,54706.33,52027.77
11,1,24.0,52693.29,54212.52,56292.97,53294.95,54887.03,57381.63,55471.89,54243.54,54468.50,53534.46
12,1,24.0,54021.20,54878.13,56538.73,53856.19,52869.32,56983.71,54682.56,54264.10,54899.09,53779.79
13,1,24.0,54193.88,53955.27,55853.33,53824.56,51971.24,56807.23,55446.56,55040.05,53421.86,53566.47
14,2,24.0,51650.50,52915.68,54154.83,53970.24,49504.36,52313.43,52487.78,51511.60,53645.77,51474.29
15,2,24.0,47992.75,50731.84,51608.12,51046.15,47305.95,50862.31,50128.80,48938.21,50466.68,48511.26
