week,demand_MW_mean,demand_MW_s0,demand_MW_s1,demand_MW_s2,demand_MW_s3,demand_MW_s4,demand_MW_s5,demand_MW_s6,demand_MW_s7,demand_MW_s8,demand_MW_s9
0,52728.52,52066.05,51281.27,52883.48,52534.28,53403.73,55126.69,51104.14,53962.87,52381.72,52540.97
1,53399.46,51309.96,53792.80,54752.05,53227.04,52584.39,55215.47,53691.40,53158.77,53472.00,52790.77
2,53814.17,53295.62,54878.54,56997.79,54553.63,51337.05,53793.40,53901.12,53443.10,54758.33,51183.11
3,54853.22,54161.41,57281.28,56179.62,53760.36,50463.54,54705.63,56883.57,55686.58,54064.53,55345.68
4,56006.91,54197.29,59894.14,56975.19,56319.39,51718.68,54476.69,57602.04,56685.02,56650.30,55550.34
5,57519.71,55264.77,58269.11,58022.18,58305.81,53827.31,58723.10,58753.33,56767.79,57242.65,60021.05
6,59666.91,53609.13,59919.72,60521.14,55308.36,59614.59,64193.94,62400.30,57955.42,60329.69,62816.79
7,60126.37,54502.56,62105.74,58565.25,60756.92,60198.08,61322.10,63704.77,60278.23,61204.31,58625.68
8,61994.56,61297.38,64089.59,58680.96,62261.48,56660.01,67261.56,62242.46,62495.24,63292.00,61664.93
9,63667.06,62610.83,62127.37,62992.18,65973.79,59264.44,66358.37,63330.28,66702.51,65369.91,61940.93
10,65747.32,64686.37,63848.16,67355.54,71070.09,61278.01,65664.92,67017.92,67108.07,64519.82,64924.33
11,66206.64,63240.26,69252.65,66181.93,69330.65,60815.16,67954.81,71846.39,69250.57,60438.62,63755.39
12,70474.58,68456.31,72131.76,66708.15,78327.33,65795.86,73583.61,73002.11,71157.85,65917.15,69665.72
13,70720.27,69340.02,70860.97,68689.81,76483.43,67364.16,69044.01,73151.70,73285.75,67195.49,71787.32
14,70350.95,68730.98,69728.46,67842.16,70255.47,69329.46,72984.92,70008.76,71958.53,72943.07,69727.68
15,68544.06,73364.98,70051.98,68048.56,65935.17,63926.07,69640.41,70670.14,74592.13,66597.88,62613.25
16,70310.07,70138.14,69199.80,70131.13,67866.12,68545.90,80213.10,67057.09,71939.15,69539.08,68471.16
17,71823.98,70114.68,69956.29,69893.90,71647.33,74240.83,78524.47,71284.96,69321.73,70696.31,72559.25
18,71901.03,72028.83,70948.29,67899.16,71896.78,69516.11,76230.37,78776.91,67161.42,72062.07,72490.38
19,70727.42,67537.84,72848.70,70826.82,69966.26,68765.65,74235.93,71401.25,71033.17,72900.15,67758.47
20,71490.21,67800.06,70022.58,73288.66,71761.39,77160.60,72407.11,66357.01,69911.16,75201.96,70991.54
21,69802.86,68600.84,66702.22,66761.25,71235.03,79775.90,69481.20,61630.82,70152.22,76682.83,67006.27
22,68553.95,67225.81,63966.79,65455.33,66748.29,79334.16,69283.27,60430.33,67398.69,81036.76,64660.11
23,65634.68,66000.49,62693.63,65078.96,63872.23,73831.63,65693.44,58648.86,66319.17,73878.59,60329.79
24,64379.67,67356.82,58747.53,63570.54,59609.60,72989.44,65199.63,58015.26,62790.31,75000.33,60517.23
25,62586.29,66639.27,59727.57,59329.09,59777.55,69440.24,63241.41,57513.64,60702.64,68931.29,60560.23
26,61293.67,64079.41,58069.86,57721.67,61178.30,64788.54,64131.25,57795.65,59405.55,66153.04,59613.43
27,59941.02,63038.59,55162.66,60268.47,59511.51,60215.99,63127.75,56681.79,60869.59,59924.83,60609.05
28,59730.79,62461.99,56017.80,61042.98,58439.02,57495.12,62084.79,58518.58,60616.29,59599.01,61032.32
29,58190.48,58593.59,58606.65,61350.11,54761.28,56702.05,58985.61,54777.04,56805.69,61437.76,59884.99
30,58020.79,57890.69,58391.83,59707.92,56220.91,57098.91,58707.93,55538.15,53952.97,62162.31,60536.29
31,54999.89,55525.72,54971.04,54474.03,53114.01,53434.83,59036.21,53542.37,53633.62,57572.82,54694.29
32,55834.48,56588.90,53570.96,55712.25,54748.44,52146.84,60024.82,56331.79,58469.98,56508.01,54242.81
